,Ingredient,Frequency
0,dark chocolate cocoa,117
1,s,3
2,morellocherries,2
3,cherry brandy,5
4,double cream,1352
5,caster sugar,2187
6,cocoa powder,84
7,morellocherry jam,1
8,plain flour,1658
9,sachet,32
10,lightbrown sugar,232
11,seasaltflakes,29
12,water,737
13,vegetable oil,697
14,butter,1072
15,ozlard,40
16,able oil,455
17,2onions,277
18,garlic,111
19,pinchthymeleaves,2
20,Scotch bonnet chilli,21
21,greenpepper,71
22,redpepper,242
23,tomato,74
24,salt cod flakes,1
25,tinnedackee,1
26,1onion,801
27,freshthyme,354
28,garliccloves,1790
29,¼scotch bonnet chilli,1
30,tbspolive oil,2583
31,white wine vinegar,427
32,eggs,1683
33,avocado,88
34,onions,152
35,softbrown sugar,116
36,red wine vinegar balsamic vinegar,1
37,pinchsea salt,73
38,ozcherry tomatoes,87
39,garlicclove,1334
40,cucumber,179
41,flatleafparsley,571
42,driedoregano,251
43,extra virgin olive oil,654
44,sourdough orciabatta,1
45,salt groundblack pepper,3147
46,2hakefillets,2
47,1fennelbulb,16
48,redchilli,518
49,tigercherry tomatoes,1
50,6mussels,1
51,6clams,1
52,white wine,314
53,datterinitomatoes,3
54,sourdough garlic olive oil,1
55,carrots,447
56,bspolive oil,113
57,ripetomatoes,93
58,cannellini beans,5
59,vegetable,11
60,orangepeel,12
61,parmesanrind,1
62,chardstalks leaves,1
63,freshparsley,263
64,tspsalt,950
65,tbspsunflower oil,322
66,7ozlamb mince,5
67,groundcoriander,329
68,chilli powder,185
69,tbsptomato,406
70,coriander,724
71,freshmint,203
72,unsaltedbutter,1440
73,spinach,14
74,ozwalnuts,71
75,ozmozzarella,39
76,ozfeta,97
77,vanillaice cream,39
78,espressocoffee,14
79,whitebread,4
80,seededbread,1
81,ozcheddar,98
82,onionchutney,2
83,egg yolks,419
84,clovesgarlic,110
85,½lemon juice,365
86,mustard powder,76
87,saffron,23
88,Bramley apples,61
89,ripepears,5
90,4bay leaves,1
91,brown sugar,153
92,orange zest juice,69
93,freshraspberries,33
94,rolledoats,38
95,ground almonds,225
96,ozbutter,1500
97,6amarettibiscuits,2
98,flour,761
99,tbspmilk,158
100,redapples,7
101,icing sugar,818
102,2aubergines,36
103,ballmozzarella,9
104,pass,1
105,breadcrumbs,168
106,freshbasilleaves,51
107,Parmesanor cheese,2
108,sea salt,391
109,bread salad,1
110,softenedbutter,42
111,4cherry tomatoes,9
112,rashers streakybacon,74
113,atedcheddar,6
114,babyspinach,122
115,blackolives,80
116,crumbledfeta,4
117,naturalyoghurt,103
118,pepper,9
119,redchilliflakes,59
120,groundcumin,607
121,bakingpotato,10
122,rapeseed vegetable sunflower oil,2
123,salt ground black pepper,163
124,ripetomato,9
125,jalapeñopeppers lic es,2
126,avocado avocadoslices,1
127,lime lemon juice,1
128,mixedseeds dukkah za’atar chilli flakes,1
129,beans,26
130,curry powder,59
131,naturalyoghurtand lime pickle,1
132,rump sirloinsteak,1
133,oil,266
134,Cajun seasoning,15
135,1lime juice,280
136,tortillawraps,17
137,lim ges,35
138,pomegranateseeds,11
139,freshbasil,99
140,redchilli seeds,129
141,handfulcherry tomatoes,4
142,ozmilk,370
143,runnyhoneyor maple syrup,1
144,ozporridgeoats,7
145,baking powder,568
146,salt,934
147,blueberries berries,2
148,plainyoghurt,172
149,headbroccoli florets,27
150,olive oilspray,13
151,balsamic vinegar,167
152,tsphoney,73
153,Parmesanor hard cheese,2
154,garam masala,239
155,tsppaprika,156
156,groundturmeric,450
157,Greek -sty ley oghurt,37
158,tbspcornflour,189
159,1lemon juice,379
160,cauliflower florets,69
161,sunflower orvegetable oil,27
162,mango chutney,5
163,cauliflower thecauliflowerinto florets stalk leaves,1
164,buffalo hot sauce,1
165,oat -basedyoghurt,1
166,1lemon zest ½lemon,3
167,freshherbs coriander chives dill mint,1
168,bspcaster sugar,291
169,mustard seeds,48
170,freshdill,180
171,vegetables carrots radishes celery fennel cauliflower,1
172,ozwhite wine vinegar,8
173,bread sourdough,2
174,cheese cheddar Lancashire mozzarella,1
175,chicken breasts,114
176,tbspplain flour,242
177,egg milk,8
178,ozpanko breadcrumbs,30
179,2spring onions,220
180,pintpineapple juice,1
181,apple cidervinegar,36
182,tomatoketchup,134
183,low saltsoy sauce,1
184,bspcornflour paste pineapple juice,1
185,redpepper seeds,86
186,yellowpepper seeds,22
187,garlicgranules,53
188,tbsppaprika,37
189,ozguacamole,1
190,cream,192
191,freshparsleyleaves,4
192,nutmeg,235
193,4chicken breasts,18
194,greens,13
195,1lemon wedges,48
196,½ ion,42
197,carrot,373
198,basilsprig handfulbasilleaves,1
199,egg,215
200,Parmesan,299
201,handfulparsleyleaves,3
202,psalt,6
203,tbsppanko breadcrumbs,2
204,sweets paprika,48
205,cayenne pepper,141
206,groundblack pepper,664
207,olive,5
208,runnyhoney,221
209,lightmayonnaise,12
210,Dijon mustard,405
211,wholegrain mustard,129
212,soy sauce,378
213,1lime zest juice,52
214,tbspsesame oil,133
215,pinchchilliflakes,76
216,rootginger,806
217,chicken thighs,110
218,saltedbutter,156
219,tspsesame seeds,28
220,coriander stalks leaves,16
221,chicken wings,19
222,soy sauceor tamari,3
223,winevinegar,59
224,toastedsesame oil,91
225,largespring onion,7
226,chipotle paste,20
227,1lime,29
228,9ozgnocchi,3
229,orange yellowpepper seeds,1
230,onion,482
231,tomatosalsa,2
232,potatoes,397
233,cuminseeds,372
234,largesweet potatoes,7
235,prawns,37
236,coconut,138
237,paprika,187
238,tbspcoconutyoghurt,2
239,lemon juice,148
240,pinchsalt,593
241,cabbage,92
242,white cabbage,39
243,tbspmayonnaise,18
244,courgettes,65
245,sultanas,101
246,pine nuts,99
247,1lemon zest juice,119
248,chicken,116
249,cornflakes,9
250,lemon salt,1
251,bacon,12
252,2brioche burger buns,1
253,iceberg lettuce,2
254,tsppesto,4
255,firmtofu,42
256,sweetchilli sauce,40
257,beefsteaks,1
258,2peppers seeds,2
259,Chinesefive -spice powder,73
260,rice ornoodles,2
261,tbspsesame seeds,99
262,lightsoy sauce,174
263,tinchickpeas,96
264,red onion,130
265,spray oil moreolive oil,1
266,4flatbreads,5
267,chilli sauce,22
268,pickledchillies,13
269,tahini sauce red pepper hummus yoghurt,1
270,sprigs coriander mint parsley,1
271,potatoes chips,12
272,hake cod loin orhaddockfillets,1
273,lemonwedges,57
274,freshrosemary leaves,2
275,tbspsea salt,31
276,1lemon z,170
277,bspmayonnaise,76
278,Greek -styleyoghurt,63
279,cocktailgherkins,1
280,gnocchi,7
281,mayonnaise,78
282,14ozchicken breastmini-fillets,1
283,cornflour,258
284,smalllemons juice,1
285,ginger paste,18
286,spring onion,128
287,rice,69
288,bakingpotatoes,29
289,sprayoil,9
290,smallonion,164
291,tspnigella seeds,26
292,frozenspinach,15
293,tuna,17
294,3spring onions,120
295,ayonnaise,27
296,parsley,287
297,ozgherkinor cornichons,1
298,1leek,61
299,ozgarlic herb cream cheese,1
300,2ozbeef mince,30
301,mediumshallot,1
302,driedspaghetti,31
303,blockmozzarellacucina,1
304,largeparsnips,10
305,mediumparsnips,4
306,groundcinnamon,515
307,orange juice,90
308,demerara sugar,65
